contest,rank,handle,country
Code Contest 1,1,user0011,Canada
Code Contest 1,2,user0012,Portugal
Code Contest 1,3,user0013,New Zealand
Code Contest 1,4,user0014,Mexico
Code Contest 1,5,user0015,Japan
Code Contest 1,6,user0016,China
Code Contest 1,7,user0017,Brazil
Code Contest 1,8,user0018,Singapore
Code Contest 1,9,user0019,Australia
Code Contest 1,10,user00110,Philippines
Code Contest 2,1,user0021,Belgium
Code Contest 2,2,user0022,Czech Republic
Code Contest 2,3,user0023,Portugal
Code Contest 2,4,user0024,Australia
Code Contest 2,5,user0025,Italy
Code Contest 2,6,user0026,Japan
Code Contest 2,7,user0027,Chile
Code Contest 2,8,user0028,Vietnam
Code Contest 2,9,user0029,Portugal
Code Contest 2,10,user00210,Indonesia
Code Contest 3,1,user0031,India
Code Contest 3,2,user0032,Singapore
Code Contest 3,3,user0033,Denmark
Code Contest 3,4,user0034,Japan
Code Contest 3,5,user0035,Greece
Code Contest 3,6,user0036,Philippines
Code Contest 3,7,user0037,New Zealand
Code Contest 3,8,user0038,Poland
Code Contest 3,9,user0039,France
Code Contest 3,10,user00310,Belgium
Code Contest 4,1,user0041,Sweden
Code Contest 4,2,user0042,New Zealand
Code Contest 4,3,user0043,Finland
Code Contest 4,4,user0044,Italy
Code Contest 4,5,user0045,Sweden
Code Contest 4,6,user0046,Brazil
Code Contest 4,7,user0047,Australia
Code Contest 4,8,user0048,USA
Code Contest 4,9,user0049,Brazil
Code Contest 4,10,user00410,Switzerland
Code Contest 5,1,user0051,Switzerland
Code Contest 5,2,user0052,Vietnam
Code Contest 5,3,user0053,Netherlands
Code Contest 5,4,user0054,Czech Republic
Code Contest 5,5,user0055,Israel
Code Contest 5,6,user0056,Singapore
Code Contest 5,7,user0057,Canada
Code Contest 5,8,user0058,USA
Code Contest 5,9,user0059,Australia
Code Contest 5,10,user00510,Indonesia
Code Contest 6,1,user0061,Slovakia
Code Contest 6,2,user0062,Thailand
Code Contest 6,3,user0063,United Kingdom
Code Contest 6,4,user0064,Malaysia
Code Contest 6,5,user0065,India
Code Contest 6,6,user0066,Argentina
Code Contest 6,7,user0067,Czech Republic
Code Contest 6,8,user0068,Japan
Code Contest 6,9,user0069,Slovakia
Code Contest 6,10,user00610,Australia
Code Contest 7,1,user0071,Japan
Code Contest 7,2,user0072,Brazil
Code Contest 7,3,user0073,USA
Code Contest 7,4,user0074,New Zealand
Code Contest 7,5,user0075,Israel
Code Contest 7,6,user0076,United Kingdom
Code Contest 7,7,user0077,France
Code Contest 7,8,user0078,United Kingdom
Code Contest 7,9,user0079,Switzerland
Code Contest 7,10,user00710,Italy
Code Contest 8,1,user0081,New Zealand
Code Contest 8,2,user0082,Argentina
Code Contest 8,3,user0083,Vietnam
Code Contest 8,4,user0084,France
Code Contest 8,5,user0085,Singapore
Code Contest 8,6,user0086,Mexico
Code Contest 8,7,user0087,France
Code Contest 8,8,user0088,Israel
Code Contest 8,9,user0089,USA
Code Contest 8,10,user00810,New Zealand
Code Contest 9,1,user0091,Indonesia
Code Contest 9,2,user0092,Japan
Code Contest 9,3,user0093,Spain
Code Contest 9,4,user0094,Hungary
Code Contest 9,5,user0095,Japan
Code Contest 9,6,user0096,Czech Republic
Code Contest 9,7,user0097,Spain
Code Contest 9,8,user0098,Norway
