contest,rank,handle,country
Codeforces Round 1,1,userA,Poland
Codeforces Round 1,2,userB,Russia
Codeforces Round 1,3,userC,USA
Codeforces Round 1,4,userD,Poland
Codeforces Round 1,5,userE,China
Codeforces Round 1,6,userF,India
Codeforces Round 1,7,userG,USA
Codeforces Round 1,8,userH,Ukraine
Codeforces Round 1,9,userI,Poland
Codeforces Round 1,10,userJ,Russia
Codeforces Round 2,1,userK,China
Codeforces Round 2,2,userL,Russia
Codeforces Round 2,3,userM,Poland
Codeforces Round 2,4,userN,USA
Codeforces Round 2,5,userO,India
Codeforces Round 2,6,userP,France
Codeforces Round 2,7,userQ,USA
Codeforces Round 2,8,userR,Poland
Codeforces Round 2,9,userS,Germany
Codeforces Round 2,10,userT,Canada
ICPC 2024,1,userU,Russia
ICPC 2024,2,userV,China
ICPC 2024,3,userW,Poland
ICPC 2024,4,userX,Poland
ICPC 2024,5,userY,USA
ICPC 2024,6,userZ,India
ICPC 2024,7,userAA,Germany
ICPC 2024,8,userAB,France
ICPC 2024,9,userAC,Poland
ICPC 2024,10,userAD,Russia
